,Flight_Number,Airline,Origin_City,Origin_Airport,Destination_City,Destination_Airport,Departure_Time,Arrival_Time,Duration,Price,Available_Seats,Class,Flight_details
10,GO122,Go First,Hyderabad,HYD - Rajiv Gandhi Intl,Pune,PNQ - Pune Airport,13:45,16:45,3h 15m,2855.19,34,Economy,"GO122 - Go First | Hyderabad (HYD - Rajiv Gandhi Intl) → Pune (PNQ - Pune Airport) | Departure: 13:45, Arrival: 16:45, Duration: 3h 15m | ₹2855.19, 34 seats left | Class: Economy"
11,IN159,IndiGo,Goa,GOI - Goa Dabolim Airport,Bangalore,BLR - Kempegowda Intl,21:15,0:15,3h 15m,8831.78,91,Business,"IN159 - IndiGo | Goa (GOI - Goa Dabolim Airport) → Bangalore (BLR - Kempegowda Intl) | Departure: 21:15, Arrival: 0:15, Duration: 3h 15m | ₹8831.78, 91 seats left | Class: Business"
12,SP364,SpiceJet,Goa,GOI - Goa Dabolim Airport,Kolkata,CCU - Netaji Subhas Chandra Bose Intl,13:30,16:30,3h 15m,7902.01,89,Economy,"SP364 - SpiceJet | Goa (GOI - Goa Dabolim Airport) → Kolkata (CCU - Netaji Subhas Chandra Bose Intl) | Departure: 13:30, Arrival: 16:30, Duration: 3h 15m | ₹7902.01, 89 seats left | Class: Economy"
13,AK261,Akasa Air,Chennai,MAA - Chennai Intl,Ahmedabad,AMD - Sardar Vallabhbhai Patel Intl,20:45,22:45,2h 45m,6692.39,79,Business,"AK261 - Akasa Air | Chennai (MAA - Chennai Intl) → Ahmedabad (AMD - Sardar Vallabhbhai Patel Intl) | Departure: 20:45, Arrival: 22:45, Duration: 2h 45m | ₹6692.39, 79 seats left | Class: Business"
14,GO618,Go First,Chennai,MAA - Chennai Intl,Bangalore,BLR - Kempegowda Intl,13:15,14:15,1h 45m,10051.49,28,Business,"GO618 - Go First | Chennai (MAA - Chennai Intl) → Bangalore (BLR - Kempegowda Intl) | Departure: 13:15, Arrival: 14:15, Duration: 1h 45m | ₹10051.49, 28 seats left | Class: Business"
15,VI875,Vistara,Mumbai,BOM - Chhatrapati Shivaji Intl,Delhi,DEL - Indira Gandhi Intl,22:45,0:45,2h 30m,13659.47,25,Economy,"VI875 - Vistara | Mumbai (BOM - Chhatrapati Shivaji Intl) → Delhi (DEL - Indira Gandhi Intl) | Departure: 22:45, Arrival: 0:45, Duration: 2h 30m | ₹13659.47, 25 seats left | Class: Economy"
16,AK358,Akasa Air,Ahmedabad,AMD - Sardar Vallabhbhai Patel Intl,Goa,GOI - Goa Dabolim Airport,5:30,8:30,3h 00m,2561.03,43,Economy,"AK358 - Akasa Air | Ahmedabad (AMD - Sardar Vallabhbhai Patel Intl) → Goa (GOI - Goa Dabolim Airport) | Departure: 5:30, Arrival: 8:30, Duration: 3h 00m | ₹2561.03, 43 seats left | Class: Economy"
17,SP992,SpiceJet,Pune,PNQ - Pune Airport,Delhi,DEL - Indira Gandhi Intl,21:45,23:45,2h 00m,6563.82,66,Economy,"SP992 - SpiceJet | Pune (PNQ - Pune Airport) → Delhi (DEL - Indira Gandhi Intl) | Departure: 21:45, Arrival: 23:45, Duration: 2h 00m | ₹6563.82, 66 seats left | Class: Economy"
18,AI827,AirAsia India,Pune,PNQ - Pune Airport,Bangalore,BLR - Kempegowda Intl,5:30,7:30,2h 00m,11717.06,71,Economy,"AI827 - AirAsia India | Pune (PNQ - Pune Airport) → Bangalore (BLR - Kempegowda Intl) | Departure: 5:30, Arrival: 7:30, Duration: 2h 00m | ₹11717.06, 71 seats left | Class: Economy"
19,AI679,Air India,Mumbai,BOM - Chhatrapati Shivaji Intl,Chennai,MAA - Chennai Intl,17:45,18:45,1h 30m,13723.02,70,Economy,"AI679 - Air India | Mumbai (BOM - Chhatrapati Shivaji Intl) → Chennai (MAA - Chennai Intl) | Departure: 17:45, Arrival: 18:45, Duration: 1h 30m | ₹13723.02, 70 seats left | Class: Economy"
